5. Measuring blood pressure;;;;;;;;;;;;
It is recommended to measure BP using a validated and calibrated device, to enforce the correct measurement technique, and to apply a consistent approach to BP measurement for each patient.;I;B;;;;;;;;;;
Out-of-office BP measurement is recommended for diagnostic purposes, particularly because it can detect both white-coat hypertension and masked hypertension. Where out-of-office measurements are not logistically and/or economically feasible, then it is recommended that the diagnosis be confirmed with a repeat office BP measurement using the correct standardized measurement technique.;I;B;;;;;;;;;;
"Most automated oscillometric monitors have not been validated for BP measurement in AF; BP measurement should be considered using a manual auscultatory method in these circumstances, where possible.";IIa;C;;;;;;;;;;
An assessment for orthostatic hypotension (≥20 systolic BP and/or ≥10 diastolic BP mmHg drop at 1 and/or 3 min after standing) should be considered at least at the initial diagnosis of elevated BP or hypertension and thereafter if suggestive symptoms arise. This should be performed after the patient is first lying or sitting for 5 min.;IIa;C;;;;;;;;;;
6. Definition and classification of elevated blood pressure and hypertension, and cardiovascular disease risk assessment;;;;;;;;;;;;
It is recommended to use a risk-based approach in the treatment of elevated BP, and individuals with moderate or severe CKD, established CVD, HMOD, diabetes mellitus, or familial hypercholesterolaemia are considered at increased risk for CVD events.;I;B;;;;;;;;;;
It is recommended that, irrespective of age, individuals with elevated BP and a SCORE2 or SCORE2-OP CVD risk of ≥10% be considered at increased risk for CVD for the purposes of risk-based management of their elevated BP.;I;B;;;;;;;;;;
SCORE2-Diabetes should be considered to estimate CVD risk among type 2 diabetes mellitus patients with elevated BP, particularly if they are <60 years of age.;IIa;B;;;;;;;;;;
History of pregnancy complications (gestational diabetes, gestational hypertension, pre-term delivery, pre-eclampsia, one or more stillbirths, and recurrent miscarriage) are sex-specific risk modifiers that should be considered to up-classify individuals with elevated BP and borderline increased 10-year CVD risk (5% to <10% risk).;IIa;B;;;;;;;;;;
High-risk ethnicity (e.g. South Asian), family history of premature onset atherosclerotic CVD, socio-economic deprivation, auto-immune inflammatory disorders, HIV, and severe mental illness are risk modifiers shared by both sexes that should be considered to up-classify individuals with elevated BP and borderline increased 10-year CVD risk (5% to <10% risk).;IIa;B;;;;;;;;;;
After assessing 10-year predicted CVD risk and non-traditional CVD risk modifiers, if a risk-based BP-lowering treatment decision remains uncertain for individuals with elevated BP, measuring CAC score, carotid or femoral plaque using ultrasound, high-sensitivity cardiac troponin or B-type natriuretic peptide biomarkers, or arterial stiffness using pulse wave velocity, may be considered to improve risk stratification among patients with borderline increased 10-year CVD risk (5% to <10% risk) after shared decision-making and considering costs.;;;;;;;;;;;;
7. Diagnosing hypertension and investigating underlying causes;;;;;;;;;;;;
Opportunistic screening for elevated BP and hypertension should be considered: ;IIa;C;;;;;;;;;;
At least every 3 years for adults aged <40 years.;;;;;;;;;;;;
At least annually for adults aged ≥40 years.;;;;;;;;;;;;
In individuals with elevated BP who do not currently meet risk thresholds for BP-lowering treatment, a repeat BP measurement and risk assessment within 1 year should be considered.;IIa;C;;;;;;;;;;
Other forms of screening for hypertension (i.e. systematic screening, self-screening, and non-physician screening) may be considered, depending on their feasibility in different countries and healthcare systems.;IIb;B;;;;;;;;;;
In individuals with increased CVD risk where their screening office BP is 120–139/70–89 mmHg, it is recommended to measure BP out of office, using ABPM and/or HBPM or, if not logistically feasible, make repeated office BP measurements on more than one visit.;I;B;;;;;;;;;;
Objective evaluation of adherence (either directly observed treatment or detecting prescribed drugs in blood or urine samples) should be considered in the clinical work-up of patients with apparent resistant hypertension, if resources allow.;IIa;B;;;;;;;;;;
If moderate-to-severe CKD is diagnosed, it is recommended to repeat measurements of serum creatinine, eGFR, and urine ACR at least annually.;I;C;;;;;;;;;;
