SOURCE,EXTERNAL_ID,PMCID,DOI,AUTHORS,PUBLICATION_YEAR,PUBLICATION_MONTH,TITLE,JOURNAL,VOLUME,ISSUE,PAGE_INFO,PUBLISHER,TIMES_CITED,GRANTS,OPEN_ACCESS,LICENSE,FIRST_PUB_DATE (dd/mm/yyyy),EMBARGO_DATE (dd/mm/yyyy),IN_EPMC,EPMC_AUTH_MAN,FILE
PPR,PPR979996,,10.20944/preprints202502.1429.v1,"Lazaridis, Antonios; Malliora, Anastasia; Gkaliagkousi, Eugenia",2025,,The Particularities of Arterial Hypertension in Female Sex. From Pathophysiology to Therapeutic Management,Preprints.org,,,,,0,,N,,2025-02-18,,N,N,preprints202502.1429.v1.pdf
MED,39164794,,10.1080/03630242.2024.2392134,"Nesterovich Grushina, Daria; Álvarez Moleiro, María",2024,9,Nursing intervention with a gender approach in patients with arterial hypertension: a scoping review.,Women &amp; health,64,8,626-635,,0,,N,,2024-08-20,,N,N,
PMC,PMC11517989,PMC11517989,,,2024,10,The trends of arterial hypertension and ischemic heart disease in Lithuanian population (1983-2023),European journal of public health,34,Suppl 3,,,0,,Y,cc by-nc,2024-10-28,,Y,N,
MED,39369129,PMC11604795,10.1007/s40292-024-00673-x,"Lembo, Maria; Manzi, Maria Virginia; Pacella, Daniela; Piccolo, Raffaele; Losi, Maria Angela; Canciello, Grazia; Mancusi, Costantino; Bardi, Luca; Giugliano, Giuseppe; Morisco, Carmine; Trimarco, Bruno; Carnevale, Daniela; Izzo, Raffaele; Bossone, Eduardo; Esposito, Giovanni",2024,11,Prolonged Time-to-antihypertensive Therapy Worsens Organ Damage and Blood Pressure Control in Arterial Hypertension.,High blood pressure &amp; cardiovascular prevention : the official journal of the Italian Society of Hypertension,31,6,639-648,,0,"""Università degli Studi di Napoli Federico II"":""ID_NOT_SUPPLIED""",Y,cc by-nc,2024-10-05,,Y,N,s40292-024-00673-x.pdf
MED,38624058,,10.4149/bll_2024_48,"Taniwall, Arian; Broz, Jan; Lustigova, Michala; Gonzalez-Rivas, Juan P; Maranhao Neto, Geraldo De Albuquerque; Pavlovska, Iuliia; Krollova, Pavlina; Berka, Barbora; Patek, Ondrej; Fackovcova, Lucia; Hoffmann, Petr; Mlichova, Jana; Brunerova, Ludmila; Urbanova, Jana",2024,,Effectiveness of treatment of arterial hypertension in Central Europe from 1972 to 2022.,Bratislavske lekarske listy,125,5,322-330,,0,,N,,2024-01-01,,N,N,Effectivenessoftreatmentofarterialhypertension_2024.pdf
MED,36891888,,10.1080/17512433.2023.2189585,"Tamargo, Juan; Caballero, Ricardo; Mosquera, Eva Delpón",2023,4,Sex and gender differences in the treatment of arterial hypertension.,Expert review of clinical pharmacology,16,4,329-347,,2,"""Comunidad de Madrid"":""S2017/BMD3738 and P2022/BMD-7229"",""Ministerio de Ciencia e Innovación"":""PID2020-118694RB-I00""",N,,2023-03-26,,N,N,
MED,36919603,,10.1161/hypertensionaha.122.20448,"Chapman, Niamh; Ching, Siew M; Konradi, Aleksandra O; Nuyt, Anne Monique; Khan, Taskeen; Twumasi-Ankrah, Betty; Cho, Eun J; Schutte, Aletta E; Touyz, Rhian M; Steckelings, U Muscha; Brewster, Lizzy M",2023,6,Arterial Hypertension in Women: State of the Art and Knowledge Gaps.,"Hypertension (Dallas, Tex. : 1979)",80,6,1140-1149,,11,"""World Health Organization"":""001""",N,,2023-03-15,,N,N,et-al-2023-arterial-hypertension-in-women-state-of-the-art-and-knowledge-gaps.pdf
MED,36136303,PMC9726450,10.1093/eurheartj/ehac470,"Gerdts, Eva; Sudano, Isabella; Brouwers, Sofie; Borghi, Claudio; Bruno, Rosa Maria; Ceconi, Claudio; Cornelissen, Véronique; Diévart, François; Ferrini, Marc; Kahan, Thomas; Løchen, Maja-Lisa; Maas, Angela H E M; Mahfoud, Felix; Mihailidou, Anastasia S; Moholdt, Trine; Parati, Gianfranco; de Simone, Giovanni",2022,12,Sex differences in arterial hypertension.,European heart journal,43,46,4777-4788,,43,,Y,cc by-nc,2022-12-01,,Y,N,ehac470.pdf
MED,34207606,PMC8229802,10.3390/pharmaceutics13060856,"Luca, Constantin-Tudor; Crisan, Simina; Cozma, Dragos; Negru, Alina; Lazar, Mihai-Andrei; Vacarescu, Cristina; Trofenciuc, Mihai; Rachieru, Ciprian; Craciun, Laura Maria; Gaita, Dan; Petrescu, Lucian; Mischie, Alexandru; Iurciuc, Stela",2021,6,Arterial Hypertension: Individual Therapeutic Approaches-From DNA Sequencing to Gender Differentiation and New Therapeutic Targets.,Pharmaceutics,13,6,856,,8,,Y,cc by,2021-06-09,,Y,N,pharmaceutics-13-00856.pdf
MED,32252968,,10.1016/j.maturitas.2020.03.006,"Anagnostis, Panagiotis; Theocharis, Patroklos; Lallas, Konstantinos; Konstantis, Georgios; Mastrogiannis, Konstantinos; Bosdou, Julia K; Lambrinoudaki, Irene; Stevenson, John C; Goulis, Dimitrios G",2020,5,Early menopause is associated with increased risk of arterial hypertension: A systematic review and meta-analysis.,Maturitas,135,,74-79,,19,"""Abbott"":""ID_NOT_SUPPLIED"",""Pfizer"":""ID_NOT_SUPPLIED"",""Mylan"":""ID_NOT_SUPPLIED""",N,,2020-03-17,,N,N,
MED,30584913,,10.1016/j.phrs.2018.12.021,"Tadic, Marijana; Cuspidi, Cesare; Grassi, Guido; Ivanovic, Branislava",2019,3,Gender-specific therapeutic approach in arterial hypertension - Challenges ahead.,Pharmacological research,141,,181-188,,19,,N,,2018-12-22,,N,N,phrs.2018.12.021.pdf
